iou,dice,precision,recall,file
0.9436665783459351,0.9710169314625944,0.9524320891187986,0.9903415015641293,f_r_93_
0.40327127659563744,0.5747588272083516,0.6622554157931516,0.5076840660260488,n_l_0_
0.6474912112494856,0.786032977691477,0.6951449648310173,0.904262441419326,n_l_100_
0.1181096650309316,0.2112666918547103,0.11810966503093663,1.0,n_l_102_
0.09263591907181008,0.16956411088975354,0.09263591907181896,1.0,n_l_12_
0.8558729863548267,0.9223400444400792,0.8859958995485653,0.9617934558297241,n_l_15_
0.9475656788590007,0.9730769946758774,0.9533551890642312,0.993631995894063,n_l_18_
0.9331688568221023,0.9654292262457816,0.9570696900539832,0.9739360821328035,n_l_26_
0.891327448826585,0.9425416517690591,0.937030531221437,0.9481179828734538,n_l_29_
0.8995825436830946,0.9471370924886442,0.899582543683124,1.0,n_l_3_
0.35585622818337354,0.5249173485896258,0.370707927087749,0.8988100017665291,n_l_44_
0.0,0.0,0.0,1.0,n_l_48_
0.0,0.0,0.0,1.0,n_l_52_
0.3444824218749888,0.512438714363525,1.0,0.344482421875,n_l_79_
0.6795887341973357,0.8092323083151741,0.8506898364924756,0.7716277907742625,n_l_84_
0.8332447414381685,0.9090381907049612,0.8383899423491005,0.9926886637278768,n_l_87_
0.9999999999999674,0.9999999999999837,1.0,1.0,w_r_101_
0.9517125912557035,0.9752589551552624,0.9831644915653991,0.9674795400164674,w_r_109_
0.9358363255174621,0.9668548039745114,0.9621382170623299,0.9716178619323071,w_r_10_
0.9575529535094414,0.9783162716418675,0.9864191876581897,0.9703453934108252,w_r_111_
0.9170737507042726,0.9567433181612012,0.9663690686944727,0.9473074355893739,w_r_116_
0.7937549893201151,0.885020522920994,0.805503251373897,0.9819568539265863,w_r_147_
0.9653755957716812,0.9823828054531613,0.9805078555039972,0.9842649397864122,w_r_14_
0.8424603776570981,0.9144949740828447,0.898420960084403,0.9311546396261764,w_r_150_
0.9999348958333008,0.9999674468569777,1.0,0.9999348958333333,w_r_157_
0.6187716646459352,0.7644952999362954,0.6281113611103581,0.9765332614046327,w_r_199_
0.8250688705233568,0.9041509433961908,0.9536555635712332,0.8595322974821192,w_r_201_
0.9253568315250097,0.9612315144638056,0.9436726824827291,0.9794561664850924,w_r_217_
0.9635790217112963,0.9814517379305865,0.9798657718120806,0.983042846317254,w_r_22_
0.2669265060834277,0.421376464698972,0.8912073679666139,0.27591715675042644,w_r_30_
0.5472134054192846,0.7073534956491583,0.5649639813528216,0.9457013574660633,w_r_3_
0.5585231440554881,0.7167338466365476,0.8632853003595206,0.6127186315709835,w_r_43_
0.8672370940797429,0.9288987422426457,0.8899062622816479,0.9714648239600544,w_r_4_
0.9329049900179363,0.965287993807993,0.9658424753434985,0.9647341485530447,w_r_50_
0.9264110386908246,0.9617999690454505,0.9855858248316256,0.9391351412143449,w_r_59_
0.851204417785354,0.9196222843976063,0.9191968003619128,0.9200481625176236,w_r_6_
0.867622580491697,0.9291198227676968,0.8955458333077664,0.9653092405071664,w_r_84_
